name,field,city,state,location,mailing_address,phone,email,certified,detail_url,about,social_media,logo,highlights,photos_count,timestamp
"A Classical Studio, Inc",,,,,,,,Yes,https://www.classicist.org/membership-directory/a-classical-studio-inc/,,,,,0,1769021544.372164
A. A. Ford Interiors,,,,,,,,No,https://www.classicist.org/membership-directory/a-a-ford-interiors/,,,,,0,1769021544.372164
A. Ottavino Corp.,,,,,,,,No,https://www.classicist.org/membership-directory/a-ottavino-corp/,,,,,0,1769021544.372164
Aalto Marble Inlay,,,,,,,,No,https://www.classicist.org/membership-directory/aalto-design/,,,,,0,1769021544.372164
Aaron Cote Architecture PLLC,,,,,,,,No,https://www.classicist.org/membership-directory/aaron-cote-architecture-pllc/,,,,,0,1769021544.372164
AB Dwellings LLC,,,,,,,,No,https://www.classicist.org/membership-directory/ab-dwellings-llc/,,,,,0,1769021544.372164
Abaya Design Studio,,,,,,,,No,https://www.classicist.org/membership-directory/abaya-design-studio/,,,,,0,1769021544.372164
ABC Worldwide Stone,,,,,,,,Yes,https://www.classicist.org/membership-directory/abc-worldwide-stone/,,,,,0,1769021544.372164
"Absolute Hardwood Flooring, Inc",,,,,,,,No,https://www.classicist.org/membership-directory/absolute-hardwood-flooring-inc/,,,,,0,1769021544.372164
Acanthus International,,,,,,,,No,https://www.classicist.org/membership-directory/acanthus-international/,,,,,0,1769021544.372164
ACS Architects,,,,,,,,No,https://www.classicist.org/membership-directory/acs-architects/,,,,,0,1769021544.372164
Adams and Adams Construction,,,,,,,,No,https://www.classicist.org/membership-directory/adams-and-adams-construction/,,,,,0,1769021544.372164
Adorna,,,,,,,,No,https://www.classicist.org/membership-directory/adorna/,,,,,0,1769021544.372164
AHT Global,,,,,,,,No,https://www.classicist.org/membership-directory/aht-global/,,,,,0,1769021544.372164
AKLD Lighting Design,,,,,,,,No,https://www.classicist.org/membership-directory/akld-lighting-design/,,,,,0,1769021544.372164
Alair - Tri-Counties,,,,,,,,No,https://www.classicist.org/membership-directory/alair-tri-counties/,,,,,0,1769021544.372164
"Alan Clark Architects, LLC",,,,,,,,No,https://www.classicist.org/membership-directory/alan-clark-architects-llc/,,,,,0,1769021544.372164
Alberstadt Lambert Design,,,,,,,,No,https://www.classicist.org/membership-directory/alberstadt-lambert-design/,,,,,0,1769021544.372164
"Albert, Righter & Tittmann Architects",,,,,,,,No,https://www.classicist.org/membership-directory/albert-righter-tittmann-architects/,,,,,0,1769021544.372164
"Alex Smith Garden Design, Ltd.",,,,,,,,No,https://www.classicist.org/membership-directory/alex-smith-garden-design/,,,,,0,1769021544.372164
Alexander D. Wilson,,,,,,,,No,https://www.classicist.org/membership-directory/alexander-d-wilson/,,,,,0,1769021544.372164
Alisberg Parker Architects,,,,,,,,No,https://www.classicist.org/membership-directory/alisberg-parker-architects/,,,,,0,1769021544.372164
Allison Caccoma Inc.,,,,,,,,Yes,https://www.classicist.org/membership-directory/allison-caccoma-inc/,,,,,0,1769021544.372164
Allison Valtri Incorporated,,,,,,,,No,https://www.classicist.org/membership-directory/allison-valtri-incorporated/,,,,,0,1769021544.372164
"Alonso & Associates, Inc.",,,,,,,,No,https://www.classicist.org/membership-directory/alonso-associates-inc/,,,,,0,1769021544.372164
Alvarez Morris Architectural Studio,,,,,,,,No,https://www.classicist.org/membership-directory/alvarez-morris-architectural-studio/,,,,,0,1769021544.372164
Amanda Lindroth Design,,,,,,,,No,https://www.classicist.org/membership-directory/amanda-lindroth-design/,,,,,0,1769021544.372164
Amanda Orr Architects,,,,,,,,No,https://www.classicist.org/membership-directory/amanda-amandaorrarchitects-com/,,,,,0,1769021544.372164
Amanda Reynal Interiors,,,,,,,,No,https://www.classicist.org/membership-directory/amanda-reynal-interiors/,,,,,0,1769021544.372164
Amanda Teal Design,,,,,,,,Yes,https://www.classicist.org/membership-directory/amanda-teal-design/,,,,,0,1769021544.372164
"Amanda Webster Design, Inc.",,,,,,,,No,https://www.classicist.org/membership-directory/amanda-webster-design-inc/,,,,,0,1769021544.372164
"AMC Custom Builders, LLC",,,,,,,,No,https://www.classicist.org/membership-directory/amc-custom-builders-llc/,,,,,0,1769021544.372164
Amy Johnson Interiors,,,,,,,,No,https://www.classicist.org/membership-directory/amy-johnson-interiors/,,,,,0,1769021544.372164
Amy Morris Interiors,,,,,,,,No,https://www.classicist.org/membership-directory/amy-morris-interiors/,,,,,0,1769021544.372164
Amy Vermillion Interiors LLC,,,,,,,,No,https://www.classicist.org/membership-directory/amy-vermillion-interiors-llc/,,,,,0,1769021544.372164
Amy Zantzinger Interior Design,,,,,,,,Yes,https://www.classicist.org/membership-directory/amy-zantzinger-interior-design/,,,,,0,1769021544.372164
Anderson Studio of Architecture and Design,,,,,,,,Yes,https://www.classicist.org/membership-directory/anderson-studio-of-architecture-and-design/,,,,,0,1769021544.372164
Andreozzi Architecture,,,,,,,,No,https://www.classicist.org/membership-directory/andreozzi-architects/,,,,,0,1769021544.372164
Andrew Law Interior Design,,,,,,,,No,https://www.classicist.org/membership-directory/andrew-law-interior-design/,,,,,0,1769021544.372164
Andrew Mann Architecture,,,,,,,,No,https://www.classicist.org/membership-directory/andrew-mann-architecture/,,,,,0,1769021544.372164
Andrew Spindler Antiques & Design,,,,,,,,Yes,https://www.classicist.org/membership-directory/andrew-spindler-antiques-design/,,,,,0,1769021544.372164
"Andrew V. Giambertone & Associates, Architects",,,,,,,,No,https://www.classicist.org/membership-directory/andrew-v-giambertone-associates-architects-pc/,,,,,0,1769021544.372164
Andrika King Design LLC,,,,,,,,No,https://www.classicist.org/membership-directory/andrika-king-design-llc/,,,,,0,1769021544.372164
Angelo Davila Architect LLC,,,,,,,,No,https://www.classicist.org/membership-directory/angelo-davila-architect-llc/,,,,,0,1769021544.372164
Ann Koerner,,,,,,,,No,https://www.classicist.org/membership-directory/ann-koerner/,,,,,0,1769021544.372164
Anna Booth Interiors,,,,,,,,No,https://www.classicist.org/membership-directory/anna-booth-interiors/,,,,,0,1769021544.372164
"Anne Kustner Lighting Design, Ltd.",,,,,,,,No,https://www.classicist.org/membership-directory/anne-kustner-lighting-design-ltd/,,,,,0,1769021544.372164
Annette English and Associates,,,,,,,,No,https://www.classicist.org/membership-directory/annette-english-and-associates/,,,,,0,1769021544.372164
"Annie Downing Interiors, LLC",,,,,,,,No,https://www.classicist.org/membership-directory/annie-downing-interiors-llc/,,,,,0,1769021544.372164
Annie Liddle Design,,,,,,,,No,https://www.classicist.org/membership-directory/annie-liddle-design/,,,,,0,1769021544.372164
"Antiques Period, LLC",,,,,,,,No,https://www.classicist.org/membership-directory/antiques-period-llc/,,,,,0,1769021544.372164
Apex Builders Group,,,,,,,,Yes,https://www.classicist.org/membership-directory/apex-builders-group/,,,,,0,1769021544.372164
Appleton Partners LLP,,,,,,,,No,https://www.classicist.org/membership-directory/appleton-partners-llp/,,,,,0,1769021544.372164
APT52DC LLC,,,,,,,,No,https://www.classicist.org/membership-directory/apt52dc-llc/,,,,,0,1769021544.372164
Araiys Design,,,,,,,,No,https://www.classicist.org/membership-directory/araiys-design/,,,,,0,1769021544.372164
Arbr Studios,,,,,,,,No,https://www.classicist.org/membership-directory/arbr-studios/,,,,,0,1769021544.372164
Arcade Architecture and Interiors,,,,,,,,No,https://www.classicist.org/membership-directory/arcade-architecture-and-interiors/,,,,,0,1769021544.372164
"Archer & Buchanan Architecture, Ltd.",,,,,,,,No,https://www.classicist.org/membership-directory/archer-buchanan-architecture-ltd/,,,,,0,1769021544.372164
Architectural Accents,,,,,,,,Yes,https://www.classicist.org/membership-directory/architectural-accents/,,,,,0,1769021544.372164
"Architectural Continuum, PLLC",,,,,,,,No,https://www.classicist.org/membership-directory/architectural-conservation-llc/,,,,,0,1769021544.372164
"Architectural Solutions, Inc.",,,,,,,,No,https://www.classicist.org/membership-directory/architectural-solutions-inc/,,,,,0,1769021544.372164
"Architecture + History, LLC",,,,,,,,No,https://www.classicist.org/membership-directory/architecture-history-llc/,,,,,0,1769021544.372164
"Architessa - Alexandria, VA",,,,,,,,Yes,https://www.classicist.org/membership-directory/architessa-alexandria-va/,,,,,0,1769021544.372164
Architessa - Maryland,,,,,,,,Yes,https://www.classicist.org/membership-directory/architessa/,,,,,0,1769021544.372164
"Architessa - Vienna, VA",,,,,,,,Yes,https://www.classicist.org/membership-directory/architessa-vienna-va/,,,,,0,1769021544.372164
"Architessa - Washington, D.C.",,,,,,,,Yes,https://www.classicist.org/membership-directory/architessa-1/,,,,,0,1769021544.372164
Ardennes Standard,,,,,,,,No,https://www.classicist.org/membership-directory/ardennes-standard/,,,,,0,1769021544.372164
"Arentz Landscape Architects, LLC.",,,,,,,,Yes,https://www.classicist.org/membership-directory/richard-arentz-landscape-architects/,,,,,0,1769021544.372164
Ari Kellerman Photography,,,,,,,,No,https://www.classicist.org/membership-directory/ari-kellerman-photography/,,,,,0,1769021544.372164
Aristotle Design Group,,,,,,,,Yes,https://www.classicist.org/membership-directory/aristotle-design-group/,,,,,0,1769021544.372164
Armadillo Metalworks Inc.,,,,,,,,No,https://www.classicist.org/membership-directory/armadillo-metalworks/,,,,,0,1769021544.372164
Armand LeGardeur Architect LLC,,,,,,,,No,https://www.classicist.org/membership-directory/armand-legardeur-architect-llc/,,,,,0,1769021544.372164
Arteco & Design Restoration Corp.,,,,,,,,No,https://www.classicist.org/membership-directory/arteco-design-restoration-corp/,,,,,0,1769021544.372164
Arteriors,,,,,,,,No,https://www.classicist.org/membership-directory/arteriors/,,,,,0,1769021544.372164
Arthur Chabon Architect PC,,,,,,,,No,https://www.classicist.org/membership-directory/arthur-chabon-architects/,,,,,0,1769021544.372164
Artisan Electronics Group,,,,,,,,No,https://www.classicist.org/membership-directory/artisan-electronics-group/,,,,,0,1769021544.372164
Artistic Windows & Doors,,,,,,,,No,https://www.classicist.org/membership-directory/artistic-windows-doors/,,,,,0,1769021544.372164
Arto Brick California Pavers,,,,,,,,No,https://www.classicist.org/membership-directory/arto-brick-california-pavers/,,,,,0,1769021544.372164
Ashley Finnemore,,,,,,,,No,https://www.classicist.org/membership-directory/ashley-finnemore/,,,,,0,1769021544.372164
Ashley Gilbreath Interior Design,,,,,,,,No,https://www.classicist.org/membership-directory/ashley-gilbreath-interior-design/,,,,,0,1769021544.372164
Ashley Miller Design,,,,,,,,No,https://www.classicist.org/membership-directory/ashley-miller-design/,,,,,0,1769021544.372164
Astor & Longwood Residential Real Estate,,,,,,,,No,https://www.classicist.org/membership-directory/astor-longwood/,,,,,0,1769021544.372164
Atelier Akari Architecture,,,,,,,,No,https://www.classicist.org/membership-directory/atelier-akari-architecture/,,,,,0,1769021544.372164
Atelier Davis,,,,,,,,No,https://www.classicist.org/membership-directory/atelier-davis/,,,,,0,1769021544.372164
Atelier K,,,,,,,,No,https://www.classicist.org/membership-directory/atelier-k/,,,,,0,1769021544.372164
Atelier Kim,,,,,,,,No,https://www.classicist.org/membership-directory/atelier-kim/,,,,,0,1769021544.372164
Atelier Louis Del Boca,,,,,,,,Yes,https://www.classicist.org/membership-directory/atelier-louis-del-boca/,,,,,0,1769021544.372164
Athalie Derse LLC,,,,,,,,No,https://www.classicist.org/membership-directory/athalie-derse-llc/,,,,,0,1769021544.372164
Atkin Olshin Schade & Associates,,,,,,,,No,https://www.classicist.org/membership-directory/atkin-olshin-schade-associates/,,,,,0,1769021544.372164
Atlantic Architectural Windows & Doors,,,,,,,,No,https://www.classicist.org/membership-directory/atlantic-architectural-windows-doors/,,,,,0,1769021544.372164
Atlantic Control Technologies,,,,,,,,No,https://www.classicist.org/membership-directory/atlantic-control-technologies/,,,,,0,1769021544.372164
Auburndale Builders,,,,,,,,No,https://www.classicist.org/membership-directory/auburndale-builders/,,,,,0,1769021544.372164
"Audio Video Systems, Inc.",,,,,,,,No,https://www.classicist.org/membership-directory/audio-video-systems-inc/,,,,,0,1769021544.372164
Audrey Interiors LLC,,,,,,,,No,https://www.classicist.org/membership-directory/audrey-interiors-llc/,,,,,0,1769021544.372164
August Georges LLC - Florida,,,,,,,,Yes,https://www.classicist.org/membership-directory/august-georges-llc-florida/,,,,,0,1769021544.372164
"August Georges, Inc.",,,,,,,,No,https://www.classicist.org/membership-directory/august-georges-inc/,,,,,0,1769021544.372164
Austin Hill & Associates,,,,,,,,No,https://www.classicist.org/membership-directory/austin-hill-associates/,,,,,0,1769021544.372164
"Austin Patterson Disston Architects, LLC",,,,,,,,No,https://www.classicist.org/membership-directory/austin-patterson-disston-architects-llc/,,,,,0,1769021544.372164
Austin Studios,,,,,,,,No,https://www.classicist.org/membership-directory/austin-studios/,,,,,0,1769021544.372164
AUX Fab,,,,,,,,No,https://www.classicist.org/membership-directory/aux-fab/,,,,,0,1769021544.372164
AXIOM Fine Art Consulting,,,,,,,,No,https://www.classicist.org/membership-directory/axiom-fine-art-consulting/,,,,,0,1769021544.372164
B. Berry Interiors,,,,,,,,No,https://www.classicist.org/membership-directory/b-berry-interiors/,,,,,0,1769021544.372164
Bakes and Kropp Fine Cabinetry,,,,,,,,Yes,https://www.classicist.org/membership-directory/bakes-and-kropp-fine-cabinetry/,,,,,0,1769021544.372164
Baldridge Landscape,,,,,,,,No,https://www.classicist.org/membership-directory/baldridge-landscape/,,,,,0,1769021544.372164
Baldridge Landscape LLC,,,,,,,,No,https://www.classicist.org/membership-directory/baldridge-landscape-llc/,,,,,0,1769021544.372164
BallonSTUDIO,,,,,,,,No,https://www.classicist.org/membership-directory/ballonstudio/,,,,,0,1769021544.372164
Bambi ALynn Interior Design,,,,,,,,Yes,https://www.classicist.org/membership-directory/bambi-alynn-interior-design/,,,,,0,1769021544.372164
"BAMO, Inc.",,,,,,,,No,https://www.classicist.org/membership-directory/bamo-inc/,,,,,0,1769021544.372164
Banks Design Associates LTD,,,,,,,,Yes,https://www.classicist.org/membership-directory/banks-design-associates-ltd/,,,,,0,1769021544.372164
Barbara Gisel Design,,,,,,,,No,https://www.classicist.org/membership-directory/barbara-gisel-design/,,,,,0,1769021544.372164
